,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 123, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012300> block group:2",186.0,48.0,,,,,,,,,,1709,21.5,19.7,-666666666.0,-666666666.0,-666666666.0,20.7,19.0,21.8
"Block Group 2, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:2",85.0,31.0,,,,,,,,,,1171,59.8,49.3,-666666666.0,71.3,-666666666.0,-666666666.0,13.5,60.4
"Block Group 5, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:5",34.0,17.0,,,,,,,,,,556,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 4, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:4",52.0,21.0,,,,,,,,,,1166,45.4,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 1, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:1",43.0,24.0,,,,,,,,,,815,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 3, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:3",62.0,28.0,,,,,,,,,,1197,38.4,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 6, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:6",57.0,25.0,,,,,,,,,,1004,49.1,58.2,-666666666.0,-666666666.0,-666666666.0,52.5,-666666666.0,49.1
"Block Group 7, Census Tract 127, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:012700> block group:7",59.0,24.0,,,,,,,,,,1008,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,41.6
"Block Group 3, Census Tract 106, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:010600> block group:3",75.0,36.0,,,,,,,,,,652,54.4,25.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2
"Block Group 2, Census Tract 106, Taylor County, Texas: Summary level: 150, state:48> county:441> tract:010600> block group:2",136.0,59.0,,,,,,,,,,1861,29.2,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
