,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 18, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001800> block group:3",97,53,,,,,,,,,,741,47.3,49.7,-666666666.0,-666666666.0,-666666666.0,24.8,47.7,59.2
"Block Group 1, Census Tract 18, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001800> block group:1",154,52,,,,,,,,,,1129,37.2,39.4,-666666666.0,-666666666.0,-666666666.0,39.6,-666666666.0,47.8
"Block Group 1, Census Tract 9800, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:980000> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 17.06, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001706> block group:1",150,68,,,,,,,,,,1821,34.9,61.7,-666666666.0,34.1,-666666666.0,21.4,-666666666.0,48.3
"Block Group 2, Census Tract 17.06, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001706> block group:2",145,67,,,,,,,,,,1787,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.7,43.1
"Block Group 2, Census Tract 17.08, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001708> block group:2",118,44,,,,,,,,,,1742,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3,-666666666.0,60.6
"Block Group 1, Census Tract 17.08, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001708> block group:1",179,63,,,,,,,,,,4032,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.4,-666666666.0,39.5
"Block Group 3, Census Tract 17.08, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001708> block group:3",33,24,,,,,,,,,,536,57.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3
"Block Group 3, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:3",28,16,,,,,,,,,,432,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.9
"Block Group 5, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:5",29,15,,,,,,,,,,670,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:1",48,23,,,,,,,,,,943,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 4, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:4",57,24,,,,,,,,,,1276,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.5,55.1
"Block Group 6, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:6",44,16,,,,,,,,,,1131,27.6,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.8,27.5
"Block Group 2, Census Tract 10, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001000> block group:2",31,14,,,,,,,,,,666,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9,-666666666.0,41.6
"Block Group 3, Census Tract 3, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000300> block group:3",55,22,,,,,,,,,,938,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.3,-666666666.0,65.1
"Block Group 1, Census Tract 3, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000300> block group:1",271,91,,,,,,,,,,4921,28.1,22.2,-666666666.0,30.4,-666666666.0,32.0,10.9,29.5
"Block Group 2, Census Tract 3, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000300> block group:2",80,33,,,,,,,,,,1031,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,80.8
"Block Group 2, Census Tract 17.04, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001704> block group:2",124,60,,,,,,,,,,1989,57.9,34.3,-666666666.0,-666666666.0,-666666666.0,57.1,-666666666.0,58.9
"Block Group 1, Census Tract 17.04, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001704> block group:1",65,30,,,,,,,,,,1259,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.8
"Block Group 3, Census Tract 17.04, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001704> block group:3",321,128,,,,,,,,,,2834,43.4,18.5,-666666666.0,-666666666.0,-666666666.0,52.8,54.2,43.4
"Block Group 3, Census Tract 16, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001600> block group:3",170,71,,,,,,,,,,1215,46.5,67.2,-666666666.0,-666666666.0,-666666666.0,14.9,-666666666.0,48.3
"Block Group 2, Census Tract 16, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001600> block group:2",225,90,,,,,,,,,,1327,31.3,-666666666.0,54.7,-666666666.0,-666666666.0,14.7,-666666666.0,40.5
"Block Group 3, Census Tract 8.01, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000801> block group:3",131,53,,,,,,,,,,1653,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.9
"Block Group 2, Census Tract 8.01, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000801> block group:2",98,45,,,,,,,,,,1187,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.2,18.6,44.1
"Block Group 1, Census Tract 8.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000802> block group:1",134,46,,,,,,,,,,2221,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.5,-666666666.0,32.8
"Block Group 3, Census Tract 8.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:000802> block group:3",67,25,,,,,,,,,,1199,26.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.8
"Block Group 2, Census Tract 17.07, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001707> block group:2",114,53,,,,,,,,,,2151,51.5,66.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.1
"Block Group 2, Census Tract 14, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001400> block group:2",23,14,,,,,,,,,,734,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5,-666666666.0,83.5
"Block Group 1, Census Tract 17.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001702> block group:1",96,47,,,,,,,,,,1329,40.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 2, Census Tract 17.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001702> block group:2",61,33,,,,,,,,,,633,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 2, Census Tract 11.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001102> block group:2",57,31,,,,,,,,,,734,36.3,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 3, Census Tract 11.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001102> block group:3",44,23,,,,,,,,,,695,30.5,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5,50.1
"Block Group 4, Census Tract 11.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001102> block group:4",55,23,,,,,,,,,,689,36.9,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0
"Block Group 1, Census Tract 11.02, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001102> block group:1",42,19,,,,,,,,,,684,26.4,-666666666.0,9.6,-666666666.0,-666666666.0,21.2,-666666666.0,26.0
"Block Group 3, Census Tract 12, Tom Green County, Texas: Summary level: 150, state:48> county:451> tract:001200> block group:3",66,14,,,,,,,,,,795,45.4,75.2,-666666666.0,11.0,-666666666.0,74.6,-666666666.0,47.4
