,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9503, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950300> block group:1",239,89,,,,,,,,,,1530,40.0,63.8,-666666666.0,-666666666.0,-666666666.0,11.4,-666666666.0,41.2
"Block Group 2, Census Tract 9501, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950100> block group:2",196,111,,,,,,,,,,1246,50.3,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.6,50.3
"Block Group 1, Census Tract 9501, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950100> block group:1",103,65,,,,,,,,,,839,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4,45.6
"Block Group 3, Census Tract 9501, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950100> block group:3",213,112,,,,,,,,,,958,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 2, Census Tract 9503, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950300> block group:2",139,63,,,,,,,,,,1027,34.2,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.8,34.3
"Block Group 2, Census Tract 9505, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950500> block group:2",59,31,,,,,,,,,,918,43.4,28.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 1, Census Tract 9505, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950500> block group:1",124,65,,,,,,,,,,1861,50.8,-666666666.0,34.5,-666666666.0,-666666666.0,34.5,-666666666.0,51.4
"Block Group 1, Census Tract 9504, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950400> block group:1",28,16,,,,,,,,,,638,47.0,18.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 2, Census Tract 9502, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950200> block group:2",67,31,,,,,,,,,,1524,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 3, Census Tract 9504, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950400> block group:3",161,76,,,,,,,,,,1967,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 2, Census Tract 9504, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950400> block group:2",82,63,,,,,,,,,,1303,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,72.3,49.9
"Block Group 5, Census Tract 9502, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950200> block group:5",205,141,,,,,,,,,,1246,57.0,-666666666.0,2.4,-666666666.0,-666666666.0,-666666666.0,16.6,56.4
"Block Group 1, Census Tract 9502, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950200> block group:1",368,29,,,,,,,,,,3031,29.1,29.5,-666666666.0,-666666666.0,-666666666.0,23.6,-666666666.0,29.9
"Block Group 4, Census Tract 9502, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950200> block group:4",48,26,,,,,,,,,,814,58.7,58.2,5.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.7
"Block Group 4, Census Tract 9504, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950400> block group:4",78,43,,,,,,,,,,1110,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,86.3,54.1
"Block Group 3, Census Tract 9502, Tyler County, Texas: Summary level: 150, state:48> county:457> tract:950200> block group:3",96,43,,,,,,,,,,1450,41.3,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.7,38.6
