,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9504, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950400> block group:1",83,29,,,,,,,,,,968,44.4,59.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 9504, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950400> block group:2",118,61,,,,,,,,,,1345,44.3,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 4, Census Tract 9504, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950400> block group:4",60,26,,,,,,,,,,1063,30.8,47.3,-666666666.0,-666666666.0,-666666666.0,29.3,11.4,49.6
"Block Group 3, Census Tract 9504, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950400> block group:3",85,31,,,,,,,,,,943,39.6,19.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 3, Census Tract 9505, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950500> block group:3",123,57,,,,,,,,,,1895,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 1, Census Tract 9505, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950500> block group:1",99,47,,,,,,,,,,1580,44.8,61.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.8,44.6
"Block Group 4, Census Tract 9505, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950500> block group:4",185,85,,,,,,,,,,1111,34.6,16.7,-666666666.0,6.6,-666666666.0,17.3,-666666666.0,35.0
"Block Group 2, Census Tract 9505, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950500> block group:2",144,62,,,,,,,,,,1528,43.3,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.2,44.1
"Block Group 1, Census Tract 9506, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950600> block group:1",231,97,,,,,,,,,,1481,42.1,16.8,40.1,-666666666.0,-666666666.0,24.7,-666666666.0,42.1
"Block Group 2, Census Tract 9506, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950600> block group:2",256,103,,,,,,,,,,2845,42.3,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,1.9,42.4
"Block Group 4, Census Tract 9503, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950300> block group:4",77,32,,,,,,,,,,1408,47.0,-666666666.0,61.7,-666666666.0,-666666666.0,38.5,-666666666.0,43.6
"Block Group 2, Census Tract 9503, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950300> block group:2",106,45,,,,,,,,,,2070,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.4,-666666666.0,33.9
"Block Group 1, Census Tract 9503, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950300> block group:1",127,50,,,,,,,,,,2374,39.1,30.2,-666666666.0,-666666666.0,-666666666.0,52.5,6.3,39.8
"Block Group 5, Census Tract 9501, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950100> block group:5",149,75,,,,,,,,,,1228,43.0,36.6,-666666666.0,-666666666.0,-666666666.0,21.9,5.5,50.6
"Block Group 1, Census Tract 9501, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950100> block group:1",49,25,,,,,,,,,,1012,52.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.2
"Block Group 3, Census Tract 9501, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950100> block group:3",62,23,,,,,,,,,,1230,33.5,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 7, Census Tract 9501, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950100> block group:7",30,15,,,,,,,,,,546,28.5,-666666666.0,3.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 9501, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950100> block group:2",71,27,,,,,,,,,,1595,48.0,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,48.0
"Block Group 2, Census Tract 9502, Upshur County, Texas: Summary level: 150, state:48> county:459> tract:950200> block group:2",151,62,,,,,,,,,,1364,36.0,36.8,-666666666.0,-666666666.0,-666666666.0,23.6,-666666666.0,36.5
