,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9505, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950500> block group:2",90,42,,,,,,,,,,1145,35.1,58.0,-666666666.0,-666666666.0,-666666666.0,23.4,-666666666.0,35.3
"Block Group 4, Census Tract 9505, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950500> block group:4",79,25,,,,,,,,,,855,51.6,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4
"Block Group 4, Census Tract 9504, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950400> block group:4",138,69,,,,,,,,,,1695,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 9504, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950400> block group:1",99,44,,,,,,,,,,1084,53.1,-666666666.0,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
"Block Group 3, Census Tract 9504, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950400> block group:3",69,31,,,,,,,,,,982,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 1, Census Tract 9510, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:951000> block group:1",135,64,,,,,,,,,,1615,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 2, Census Tract 9503, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950300> block group:2",105,48,,,,,,,,,,1127,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,46.9
"Block Group 1, Census Tract 9503, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950300> block group:1",180,74,,,,,,,,,,1958,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.9,47.6
"Block Group 2, Census Tract 9501, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950100> block group:2",114,54,,,,,,,,,,1036,41.8,13.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 1, Census Tract 9501, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950100> block group:1",496,196,,,,,,,,,,2544,43.7,47.0,52.2,-666666666.0,-666666666.0,22.3,12.6,45.0
"Block Group 2, Census Tract 9506, Van Zandt County, Texas: Summary level: 150, state:48> county:467> tract:950600> block group:2",94,36,,,,,,,,,,1859,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
