,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 1.01, Webb County, Texas: Summary level: 150, state:48> county:479> tract:000101> block group:4",52,16,,,,,,,,,,711,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 15.02, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001502> block group:3",94,37,,,,,,,,,,1099,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.2,-666666666.0,-666666666.0
"Block Group 2, Census Tract 15.02, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001502> block group:2",185,73,,,,,,,,,,2682,31.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.7,-666666666.0,35.7
"Block Group 1, Census Tract 15.01, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001501> block group:1",148,50,,,,,,,,,,1131,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5,-666666666.0,-666666666.0
"Block Group 2, Census Tract 17.09, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001709> block group:2",157,62,,,,,,,,,,2752,48.7,-666666666.0,-666666666.0,35.4,-666666666.0,36.5,-666666666.0,57.8
"Block Group 1, Census Tract 17.09, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001709> block group:1",67,27,,,,,,,,,,1367,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.2
"Block Group 2, Census Tract 10.01, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001001> block group:2",125,38,,,,,,,,,,2037,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.7
"Block Group 2, Census Tract 8, Webb County, Texas: Summary level: 150, state:48> county:479> tract:000800> block group:2",114,33,,,,,,,,,,1145,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 8, Webb County, Texas: Summary level: 150, state:48> county:479> tract:000800> block group:1",83,31,,,,,,,,,,657,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 17.06, Webb County, Texas: Summary level: 150, state:48> county:479> tract:001706> block group:2",51,25,,,,,,,,,,635,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
