,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9574, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957400> block group:1",178,60,,,,,,,,,,1650,42.8,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.5,42.7
"Block Group 2, Census Tract 9574, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957400> block group:2",98,61,,,,,,,,,,1118,46.4,-666666666.0,-666666666.0,36.5,-666666666.0,-666666666.0,7.7,46.7
"Block Group 3, Census Tract 9579, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957900> block group:3",130,81,,,,,,,,,,593,49.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 1, Census Tract 9579, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957900> block group:1",371,152,,,,,,,,,,1533,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.7,45.2
"Block Group 2, Census Tract 9571, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957100> block group:2",353,214,,,,,,,,,,928,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2,47.9
"Block Group 2, Census Tract 9575, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957500> block group:2",119,35,,,,,,,,,,1079,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 1, Census Tract 9570, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957000> block group:1",448,275,,,,,,,,,,1509,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.6,44.4
"Block Group 2, Census Tract 9570, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957000> block group:2",344,180,,,,,,,,,,999,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3,40.4
"Block Group 3, Census Tract 9570, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957000> block group:3",639,317,,,,,,,,,,1808,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,45.3
"Block Group 1, Census Tract 9572, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957200> block group:1",102,45,,,,,,,,,,1087,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 2, Census Tract 9572, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957200> block group:2",180,100,,,,,,,,,,1539,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
"Block Group 2, Census Tract 9573, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957300> block group:2",40,21,,,,,,,,,,539,28.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7
"Block Group 1, Census Tract 9573, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957300> block group:1",64,29,,,,,,,,,,953,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 3, Census Tract 9573, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957300> block group:3",208,33,,,,,,,,,,1830,21.7,19.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.4,21.7
"Block Group 1, Census Tract 9578, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957800> block group:1",220,139,,,,,,,,,,751,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 9576, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957600> block group:2",128,65,,,,,,,,,,788,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
"Block Group 1, Census Tract 9576, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957600> block group:1",205,119,,,,,,,,,,1415,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 2, Census Tract 9578, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957800> block group:2",206,128,,,,,,,,,,1026,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5,40.6
"Block Group 3, Census Tract 9578, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957800> block group:3",263,135,,,,,,,,,,1107,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 1, Census Tract 9577, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957700> block group:1",167,70,,,,,,,,,,1553,42.9,-666666666.0,43.6,-666666666.0,-666666666.0,-666666666.0,1.9,42.9
"Block Group 2, Census Tract 9577, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957700> block group:2",110,53,,,,,,,,,,1396,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 3, Census Tract 9574, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957400> block group:3",86,52,,,,,,,,,,925,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 2, Census Tract 9579, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957900> block group:2",219,106,,,,,,,,,,1039,47.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.2,47.7
"Block Group 1, Census Tract 9571, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957100> block group:1",272,138,,,,,,,,,,1084,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.9,39.9
"Block Group 3, Census Tract 9575, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957500> block group:3",100,47,,,,,,,,,,1152,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 1, Census Tract 9575, Caledonia County, Vermont: Summary level: 150, state:50> county:005> tract:957500> block group:1",147,66,,,,,,,,,,1611,48.8,-666666666.0,39.2,-666666666.0,-666666666.0,-666666666.0,61.2,48.8
