,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9511, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951100> block group:2",221,130,,,,,,,,,,1045,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 1, Census Tract 9511, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951100> block group:1",409,303,,,,,,,,,,1288,48.3,-666666666.0,58.3,-666666666.0,-666666666.0,-666666666.0,41.3,48.6
"Block Group 3, Census Tract 9517, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951700> block group:3",255,127,,,,,,,,,,882,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 9518, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951800> block group:1",177,100,,,,,,,,,,773,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,37.0
"Block Group 1, Census Tract 9517, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951700> block group:1",235,134,,,,,,,,,,801,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.4,-666666666.0,43.4
"Block Group 2, Census Tract 9517, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951700> block group:2",278,135,,,,,,,,,,1248,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 4, Census Tract 9517, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951700> block group:4",333,163,,,,,,,,,,1208,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.3,41.5
"Block Group 2, Census Tract 9518, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951800> block group:2",336,140,,,,,,,,,,1000,43.9,7.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.0,43.9
"Block Group 2, Census Tract 9519, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951900> block group:2",464,353,,,,,,,,,,1361,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.8,48.2
"Block Group 1, Census Tract 9519, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951900> block group:1",273,112,,,,,,,,,,1079,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 2, Census Tract 9514, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951400> block group:2",172,23,,,,,,,,,,813,32.4,25.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 2, Census Tract 9520, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:952000> block group:2",260,212,,,,,,,,,,769,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.5,54.3
"Block Group 1, Census Tract 9516, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951600> block group:1",229,115,,,,,,,,,,984,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 4, Census Tract 9516, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951600> block group:4",127,71,,,,,,,,,,606,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 2, Census Tract 9516, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951600> block group:2",163,76,,,,,,,,,,789,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0,46.0
"Block Group 3, Census Tract 9516, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951600> block group:3",255,125,,,,,,,,,,938,42.1,-666666666.0,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 1, Census Tract 9512, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951200> block group:1",234,114,,,,,,,,,,1164,44.8,-666666666.0,-666666666.0,30.7,-666666666.0,-666666666.0,64.3,44.8
"Block Group 2, Census Tract 9512, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951200> block group:2",109,48,,,,,,,,,,787,63.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.2
"Block Group 3, Census Tract 9518, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951800> block group:3",207,122,,,,,,,,,,953,52.7,-666666666.0,51.4,-666666666.0,-666666666.0,-666666666.0,66.8,52.7
"Block Group 1, Census Tract 9514, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951400> block group:1",161,77,,,,,,,,,,1196,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 9515, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951500> block group:2",140,59,,,,,,,,,,1085,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 1, Census Tract 9520, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:952000> block group:1",278,169,,,,,,,,,,1040,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.2,53.5
"Block Group 1, Census Tract 9513, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951300> block group:1",334,182,,,,,,,,,,1740,49.4,-666666666.0,-666666666.0,40.5,-666666666.0,-666666666.0,4.9,49.1
"Block Group 5, Census Tract 9516, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951600> block group:5",360,254,,,,,,,,,,1360,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 3, Census Tract 9512, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951200> block group:3",84,40,,,,,,,,,,838,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3,41.1
"Block Group 1, Census Tract 9515, Orleans County, Vermont: Summary level: 150, state:50> county:019> tract:951500> block group:1",115,64,,,,,,,,,,1399,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
