,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9662, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966200> block group:2",236,117,,,,,,,,,,733,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 1, Census Tract 9665, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966500> block group:1",97,44,,,,,,,,,,1073,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.6,-666666666.0,47.2
"Block Group 2, Census Tract 9666, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966600> block group:2",45,19,,,,,,,,,,887,31.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.9
"Block Group 1, Census Tract 9655.01, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:965501> block group:1",103,49,,,,,,,,,,1225,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,43.5
"Block Group 2, Census Tract 9655.01, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:965501> block group:2",87,59,,,,,,,,,,1313,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 2, Census Tract 9655.02, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:965502> block group:2",173,90,,,,,,,,,,1991,46.9,30.2,-666666666.0,40.3,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 1, Census Tract 9655.02, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:965502> block group:1",55,23,,,,,,,,,,723,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.2
"Block Group 3, Census Tract 9666, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966600> block group:3",25,13,,,,,,,,,,584,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 1, Census Tract 9666, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966600> block group:1",83,31,,,,,,,,,,1403,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3,50.2
"Block Group 4, Census Tract 9666, Windsor County, Vermont: Summary level: 150, state:50> county:027> tract:966600> block group:4",60,26,,,,,,,,,,1054,54.8,-666666666.0,10.8,-666666666.0,-666666666.0,-666666666.0,52.7,54.8
