County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Adams,2000,2593.0,7,8.0,97.0,20.7,473.3,40,4692.09,2.0,0.0,625.0,1.0,3.0,0.011000000000000001,0.0133,0.1614,,0.0985,0.00315,0.0,0.98425,0.00157,0.00472,0.69231,0.15385,0.25640999999999997,0.33333,0.5128199999999999,14152.55419,0.39135468,0.0,0.0,0.0,0.0,0.0,0.44871921200000003,3454.8660340000006,0.216970443,3346.06069,289.5657389,0.0,7090.709433,3408.116823,220.52142859999998,380.5409113,366.6007143,508.4402956,585.6454926,535.4921429,0.0,237.31423650000002,820.5756897000001,7063.2477340000005,1496.644557,0.0,14.0,169.0,63.0,160.0,406.0,406.0,0.0,27.94,199.43,79.01,166.92,473.3,5745937.0,158.89,0.0,0.0,0.0,0.0,0.0,182.18,1402675.61,88.09,1358500.64,117563.69,0.0,2878828.03,1383695.43,89531.7,154499.61,148839.89,206426.76,237772.07,217409.81,0.0,96349.58,333153.73,2867678.58,607637.69,0.000668161
Barnes,2000,11775.0,31,35.0,477.0,21.0,1904.73,257,4450.61,27.0,3.0,2742.0,43.0,23.0,0.0109,0.0133,0.1818,,0.1433,0.009470000000000001,0.00105,0.96211,0.015090000000000001,0.00807,0.6917300000000001,0.18797,0.25564000000000003,0.40602,0.50376,14268.182830000002,0.41690078,0.0,0.0,0.0,0.0,0.0,0.45614269799999996,2584.205502,3.072603122,2867.279019,459.9390635,7.834492753999999,5922.33068,2962.5341359999998,185.05739690000001,464.51584169999995,202.2650948,438.7187737,472.22018949999995,317.89158310000005,0.0,132.06710139999998,561.0886734000001,5736.35879,1200.809292,8.0,116.0,803.0,284.0,583.0,1786.0,1794.0,1.0,129.02,823.72,287.9,663.09,1904.73,25597120.0,747.92,0.0,0.0,0.0,0.0,0.0,818.32,4636064.67,5512.25,5143898.56,825130.68,14055.08,10624661.24,5314786.24,331992.97,833341.42,362863.58,787061.48,847163.02,570297.5,0.0,236928.38,1006593.08,10291027.67,2154251.87,0.000832772
Benson,2000,6964.0,103,308.0,860.0,17.9,1070.54,190,6421.99,4.0,1.0,874.0,1721.0,29.0,0.0392,0.1226,0.3422,,0.1863,0.0015199999999999999,0.00037999999999999997,0.3327,0.65512,0.011040000000000001,0.39189,0.10811,0.18919,0.25676,0.28378000000000003,10879.661759999999,0.930088235,0.0,0.0,0.0,0.0,0.0,1.122519608,2146.377833,0.0,3299.835127,2652.10851,206.41110780000002,8304.732578000001,4012.854833,115.1766176,881.6047843,335.57743139999997,818.9758529000001,576.0054607999999,626.7823824,0.0,236.47599019999998,723.9216176,8327.374971,2152.3263039999997,1.0,44.0,413.0,134.0,428.0,1019.0,1020.0,11.58,63.48,438.19,120.28,437.01,1070.54,11097255.0,948.69,0.0,0.0,0.0,0.0,0.0,1144.97,2189305.39,0.0,3365831.83,2705150.68,210539.33,8470827.23,4093111.93,117480.15,899236.88,342288.98,835355.37,587525.57,639318.03,0.0,241205.51,738400.05,8493922.47,2195372.83,0.000464614
Billings,2000,888.0,0,3.0,11.0,,90.22,10,13464.27,0.0,0.0,228.0,0.0,1.0,0.0,0.0136,0.0498,,0.1266,0.0,0.0,0.97854,0.0,0.0042899999999999995,,,,,,57358.44304,0.515822785,0.0,0.0,0.0,0.0,0.0,0.515822785,3432.8537969999998,6448.147089,247.13569619999998,4377.7060759999995,234.176962,14740.01962,8097.684304,214.27670890000002,2100.900506,666.6329114,1365.622911,2931.417595,3330.372658,0.0,165.1624051,5155.49519,24027.56519,54288.1862,0.0,6.0,56.0,17.0,0.0,79.0,79.0,0.0,4.0,65.5,20.72,0.0,90.22,4531317.0,40.75,0.0,0.0,0.0,0.0,0.0,40.75,271195.45,509403.62,19523.72,345838.78,18499.98,1164461.55,639717.06,16927.86,165971.14,52664.0,107884.21,231581.99,263099.44,0.0,13047.83,407284.12,1898177.65,4288766.71,1.84e-05
Bottineau,2000,7149.0,21,27.0,191.0,20.8,1234.01,179,5284.35,16.0,4.0,1627.0,43.0,17.0,0.0122,0.017,0.1204,,0.1514,0.00926,0.00232,0.9421,0.0249,0.00984,0.6705899999999999,0.18824000000000002,0.29412,0.35294000000000003,0.49412,15573.60745,0.61536379,0.0,0.0,0.0,0.0,0.0,0.737013536,2906.802893,316.15082060000003,3039.255372,321.72178510000003,23.74524535,6607.676117,3425.178494,194.2969459,519.24978,243.16522,542.5055076,592.4763536,410.5729103,3.062588832,164.5264552,361.9780711,6457.012327,1915.7732399999998,6.0,58.0,536.0,207.0,375.0,1176.0,1182.0,8.15,73.07,558.74,186.93,407.12,1234.01,18408004.0,727.36,0.0,0.0,0.0,0.0,0.0,871.15,3435841.02,373690.27,3592399.85,380275.15,28066.88,7810273.17,4048560.98,229658.99,613753.24,287421.29,641241.51,700307.05,485297.18,3619.98,194470.27,427858.08,7632188.57,2264443.97,0.0005219819999999999
Bowman,2000,3242.0,3,12.0,80.0,22.0,765.04,70,5158.29,0.0,1.0,815.0,0.0,12.0,0.0036,0.0154,0.1026,,0.0946,0.0,0.0012,0.98075,0.0,0.01444,0.7619,0.26984,0.38095,0.49206000000000005,0.57143,13206.741890000001,0.557351351,0.0,0.0,0.0,0.0,0.0,0.5762162160000001,2316.471284,848.0395541000001,2895.3196350000003,291.46432430000004,34.30360811,6385.598405,3279.7937030000003,113.0831081,513.4785541,311.4638649,510.57602699999995,604.4419324,372.1367027,49.99594595,273.5768243,104.8941216,6133.440784,2396.0645,1.0,31.0,313.0,110.0,285.0,739.0,740.0,3.0,34.37,306.46,115.79,305.42,765.04,9772989.0,412.44,0.0,0.0,0.0,0.0,0.0,426.4,1714188.75,627549.27,2142536.53,215683.6,25384.67,4725342.82,2427047.34,83681.5,379974.13,230483.26,377826.26,447287.03,275381.16,36997.0,202446.85,77621.65,4538746.18,1773087.73,0.000417351
Burke,2000,2242.0,1,5.0,75.0,20.2,376.48,46,6456.21,4.0,0.0,489.0,3.0,5.0,0.002,0.0107,0.1606,,0.1289,0.008029999999999999,0.0,0.98193,0.00602,0.01004,0.68421,0.15789,0.23684000000000002,0.36841999999999997,0.42105,22238.97479,1.424593838,0.0,0.0,0.0,0.0,0.0,1.48092437,3991.692941,526.9509244,3320.165658,481.2912045,12.38859944,8332.489328,4547.164761999999,67.33436975,588.7896919,172.8541737,692.6492717,739.709888,559.5056582999999,0.0,208.6728011,170.7261625,7747.406779000001,3341.647003,1.0,19.0,141.0,49.0,147.0,356.0,357.0,0.0,23.5,144.6,61.38,147.0,376.48,7939314.0,508.58,0.0,0.0,0.0,0.0,0.0,528.69,1425034.38,188121.48,1185299.14,171820.96,4422.73,2974698.69,1623337.82,24038.37,210197.92,61708.94,247275.79,264076.43,199743.52,0.0,74496.19,60949.24,2765824.22,1192967.98,0.000299254
Burleigh,2000,69416.0,288,318.0,3297.0,22.0,11397.6,1244,4739.15,113.0,117.0,16860.0,962.0,180.0,0.0157,0.0185,0.192,,0.1149,0.0061600000000000005,0.006379999999999999,0.9194,0.05246,0.00982,0.7055899999999999,0.28289000000000003,0.37664000000000003,0.45558999999999994,0.625,11125.3091,0.16593903,0.0,0.0,0.0,0.0,0.0,0.207276674,2619.105296,0.0,2528.1258629999998,486.0284859,9.898116397,5643.157762,3230.809547,288.8871159,348.6464323,285.38286739999995,310.0185524,526.0928499,113.8332896,84.43130901,131.1664231,249.00030759999999,5568.268695000001,812.7014059999999,87.0,727.0,4739.0,1647.0,3625.0,10738.0,10825.0,141.27,896.88,4815.66,1685.45,3858.34,11397.6,120431471.0,1796.29,0.0,0.0,0.0,0.0,0.0,2243.77,28351814.83,0.0,27366962.47,5261258.36,107147.11,61087182.77,34973513.35,3127203.03,3774097.63,3089269.54,3355950.83,5694955.1,1232245.36,913968.92,1419876.53,2695428.33,60276508.62,8797492.72,0.001230464
Cass,2000,123138.0,396,390.0,5529.0,22.4,19604.58,2161,5097.1,609.0,519.0,28485.0,440.0,636.0,0.0129,0.0135,0.1917,,0.1135,0.01977,0.01685,0.92466,0.014280000000000001,0.02065,0.75426,0.33510999999999996,0.4266,0.5383,0.63723,12960.954940000001,0.075468151,0.0,0.0,0.0,0.0,0.0,0.095477078,3210.569974,0.0,2421.7158010000003,311.197346,21.50335451,5964.986476,3330.998653,374.482685,450.14763539999996,300.73481489999995,264.4455926,526.6005629,174.3937667,12.21733708,78.65634249,365.4819503,5878.15934,606.2954781000001,123.0,1411.0,8878.0,2855.0,5776.0,18920.0,19043.0,151.09,1521.8,8911.62,2868.63,6151.44,19604.58,246815465.0,1437.14,0.0,0.0,0.0,0.0,0.0,1818.17,61138884.02,0.0,46116734.0,5926131.06,409488.38,113591237.5,63432207.35,7131273.77,8572161.42,5726893.08,5035837.42,10028054.52,3320980.5,232654.75,1497852.73,6959872.78,111937788.3,11545684.79,0.001649361
Cavalier,2000,4831.0,2,9.0,120.0,20.8,855.08,88,5392.96,4.0,3.0,1204.0,9.0,17.0,0.0016,0.0076,0.10099999999999999,,0.1058,0.0032,0.0024,0.9632,0.0072,0.0136,0.71212,0.15152000000000002,0.24241999999999997,0.33333,0.60606,20456.830530000003,1.006790865,0.0,0.0,0.0,0.0,0.0,1.017475962,3738.914772,0.0,2523.3129089999998,299.9816947,122.79123799999999,6685.000613,3294.2566469999997,300.3314543,488.97627400000005,174.6087139,647.1902643999999,637.1964182999999,459.45206730000007,8.942728365,165.7072716,399.5652644,6576.227103,1647.4872599999999,5.0,40.0,332.0,124.0,331.0,827.0,832.0,7.53,37.56,349.97,135.46,324.56,855.08,17020083.0,837.65,0.0,0.0,0.0,0.0,0.0,846.54,3110777.09,0.0,2099396.34,249584.77,102162.31,5561920.51,2740821.53,249875.77,406828.26,145274.45,538462.3,530147.42,382264.12,7440.35,137868.45,332438.3,5471420.95,1370709.4,0.000606985
