County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Emmons,1980,,,,87.0,,,,,,,,,,,,0.0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1990,4830.0,,10.0,71.0,,,,,,,,,,,0.008,0.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1991,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1992,4622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1993,4586.0,,,,,822.02,134,4746.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1994,4528.0,,,,,827.44,117,4766.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1995,4511.0,,,,,823.12,111,5006.61,,,,,,,,,,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1996,4427.0,,,,20.0,,110,,,,,,,,,,,0.1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1997,4379.0,,,,19.9,811.99,105,3984.77,,,,,,,,,,0.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1998,4330.0,,,,18.8,813.44,109,4342.9,,,,,,,,,,0.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmons,1999,4302.0,,,,20.4,845.93,98,4502.05,,,,,,,,,,0.1223,,,,,,0.62745,0.15686,0.23529,0.39216,0.62745,14146.23596,0.818127341,0.0,0.0,0.0,0.0,0.0,0.988751561,2671.163546,0.04494382,2782.759051,295.340824,128.46441950000002,5877.772784000001,2826.1598,212.0911361,475.53433210000003,174.42821469999998,487.5580524,578.8139825000001,439.00873909999996,32.18476904,145.1860175,276.3046192,5647.270911,1530.461923,0.0,59.0,357.0,130.0,255.0,801.0,801.0,0.0,64.63,373.37,128.71,279.22,845.93,11331135.0,655.32,0.0,0.0,0.0,0.0,0.0,791.99,2139602.0,36.0,2228990.0,236568.0,102900.0,4708096.0,2263754.0,169885.0,380903.0,139717.0,390534.0,463630.0,351646.0,25780.0,116294.0,221320.0,4523464.0,1225900.0,0.000653398
Emmons,2000,4331.0,3,21.0,126.0,19.1,815.22,91,4793.27,0.0,7.0,1115.0,1.0,18.0,0.0027,0.0195,0.1172,,0.1161,0.0,0.00619,0.98585,0.00088,0.01592,0.51563,0.10937999999999999,0.21875,0.17188,0.46875,14922.39923,0.8314413270000001,0.0,0.0,0.0,0.0,0.0,0.9723596940000001,2744.572513,0.0,2990.160855,327.35077810000007,4.926160714,6067.010306,2995.377232,215.79682400000002,491.9667092,186.2227679,492.50206629999997,602.2752423,532.1954718999999,127.55102040000001,156.4454592,251.5691582,6051.901952,1578.763444,0.0,48.0,353.0,116.0,267.0,784.0,784.0,0.0,58.67,364.23,129.92,262.4,815.22,11699161.0,651.85,0.0,0.0,0.0,0.0,0.0,762.33,2151744.85,0.0,2344286.11,256643.01,3862.11,4756536.08,2348375.75,169184.71,385701.9,145998.65,386121.62,472183.79,417241.25,100000.0,122653.24,197230.22,4744691.13,1237750.54,0.000633407
Emmons,2001,4186.0,2,,,20.1,793.08,85,5105.54,0.0,7.0,1079.0,1.0,18.0,0.0018,,,,0.1113,0.0,0.00644,0.99264,0.0009199999999999999,0.01656,0.57627,0.11864000000000001,0.15254,0.27119,0.40678000000000003,16108.46335,0.8107722509999999,0.058429319,0.0,0.0,0.011034031000000001,0.042513089000000004,0.9227486909999999,2823.4724739999997,0.0,3139.1894239999997,442.5732461,5.728036649,6410.963181,3192.038848,197.0113613,519.9201308999999,205.2716885,526.9534817,658.6741754,582.8972906,60.20942408,172.5124738,278.8113482,6394.300222999999,1636.755602,4.0,58.0,336.0,124.0,242.0,760.0,764.0,0.0,49.42,358.9,116.23,268.53,793.08,12306866.0,619.43,44.64,0.0,0.0,8.43,32.48,704.98,2157132.97,0.0,2398340.72,338125.96,4376.22,4897975.87,2438717.68,150516.68,397218.98,156827.57,402592.46,503227.07,445333.53,46000.0,131799.53,213011.87,4885245.37,1250481.28,0.000610965
Emmons,2002,4064.0,1,,,20.3,767.12,80,5235.14,0.0,7.0,1014.0,1.0,16.0,0.001,,,,0.10800000000000001,0.0,0.00685,0.9921700000000001,0.00098,0.01566,0.59649,0.12280999999999999,0.24561,0.42105,0.4386,17572.26991,0.813535762,0.060755735,0.0,0.0,0.01022942,0.038340081,0.9228609990000001,2900.593887,0.0,3343.499744,378.90713900000003,0.0,6623.000768999999,3292.530918,209.68182190000002,493.1319703,250.8568151,532.332726,641.141363,485.74041839999995,10.2379892,180.2126046,241.6154116,6337.482038,1965.557584,2.0,45.0,334.0,118.0,242.0,739.0,741.0,0.0,54.4,338.13,124.3,250.29,767.12,13021052.0,602.83,45.02,0.0,0.0,7.58,28.41,683.84,2149340.07,0.0,2477533.31,280770.19,0.0,4907643.57,2439765.41,155374.23,365410.79,185884.9,394458.55,475085.75,359933.65,7586.35,133537.54,179037.02,4696074.19,1456478.17,0.0005087609999999999
Emmons,2003,3961.0,0,,,20.2,755.35,84,5948.45,0.0,6.0,973.0,1.0,16.0,0.0,,,,0.1157,0.0,0.0061200000000000004,0.9928600000000001,0.0010199999999999999,0.01633,0.66,0.16,0.22,0.28,0.48,18097.099169999998,0.8571625340000001,0.058898072,0.0,0.0,0.010785123999999998,0.037272727,0.964118457,2949.728719,0.0,3633.441956,628.6065014,0.0,7211.7771760000005,3731.512603,227.08723140000004,649.5983471,269.6049174,604.9450138,706.1834848,555.3863361,13.32146006,200.71652890000001,211.0075895,7169.363512000001,2056.520014,2.0,46.0,323.0,110.0,245.0,724.0,726.0,0.0,45.8,344.88,118.47,246.2,755.35,13138494.0,622.3,42.76,0.0,0.0,7.83,27.06,699.95,2141503.05,0.0,2637878.86,456368.32,0.0,5235750.23,2709078.15,164865.33,471608.4,195733.17,439190.08,512689.21,403210.48,9671.38,145720.2,153191.51,5204957.91,1493033.53,0.00048625800000000005
