County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Planning Region 1,1997,,,,,,6067.36,,4134.86091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,1998,,,,,,5726.28,,4767.24954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,1999,,,,,,5536.27,,5149.7456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2000,27781.0,79,,,,5252.33,,5483.8449200000005,44.0,22.0,6616.0,916.0,127.0,0.01004,,,,,0.0055899999999999995,0.0028,0.84077,0.11640999999999999,0.01614,0.63446,0.1906,0.25065,0.38642,0.49346999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2001,27206.0,71,,,20.8,5053.3,,5869.88181,48.0,25.0,6437.0,1007.0,127.0,0.009559999999999999,,,,,0.00639,0.0033299999999999996,0.8563299999999999,0.13396,0.0169,0.65556,0.21111,0.25556,0.38889,0.48889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2002,27209.0,85,,,20.5,4894.18,,6162.38259,53.0,23.0,6299.0,1036.0,131.0,0.012329999999999999,,,,,0.00715,0.0031,0.84995,0.13979,0.01768,0.6087,0.16522,0.21739,0.44348000000000004,0.46376999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2003,26924.0,108,,,20.4,4706.29,702,6788.062140000001,58.0,23.0,6042.0,1021.0,131.0,0.01568,,,,0.15893,0.00812,0.00322,0.8457399999999999,0.14292,0.018340000000000002,0.59554,0.19108,0.24204,0.4172,0.47771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2004,26760.0,102,,,21.1,4515.8,678,7412.6046400000005,58.0,28.0,5832.0,1017.0,143.0,0.015369999999999998,,,,0.15771,0.00836,0.00404,0.84095,0.14665,0.02062,0.65449,0.2093,0.25914,0.45515,0.5415300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2005,26755.0,116,,,21.3,4403.53,643,7807.936290000001,64.0,30.0,5698.0,1027.0,151.0,0.01792,,,,0.15183,0.00939,0.0044,0.8356100000000001,0.15061,0.02214,0.71667,0.2,0.26,0.48,0.51667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 1,2006,26825.0,112,,,21.4,4297.62,621,8293.0137,77.0,31.0,5579.0,1030.0,168.0,0.01768,,,,0.15169000000000002,0.01146,0.00462,0.8305799999999999,0.15334,0.02501,0.71815,0.23551999999999998,0.28185,0.5212399999999999,0.58687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
