ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
ALB,2015,Albania,7.54,33,1,8.411764706,11.4,7.442922294,9.884475183,8,15.94,9,23,7,34,8,7.96367175,2.746046899,2.97014404,4.228486942,8.333333333,4.166666667,4.387444055,6.386673239,6.719298363,6.278342661,0.948717949,5.003488819,9.292549966,3.537250168,9.427512888,1.43121778,9.622438094,1.887809532,10,9.585625237,9.353333333,0.97,9.24,3.8,8.024,4.94,8.872444444,5.439022597,9.405327776,7.422175186,10,5.553254317,4.615384615,8.296923099,6.155187344,8.112451744,5,7.629,10,7.543,5.566666667,5.026637868,6.090413268,8,6.299740913,10,6.830576453,6.080709213,6,9.733822237,4.186487668,7.324944072,7.074365792,6.733388164,7.035654872
DZA,2015,Algeria,4.85,156,4,1.922714528,33.4627706,7.817129014,8.511136517,0,,7,35,2,53,4.5,3.559960886,4.072191392,4.156907806,4.388349541,4.166666667,5,4.507538039,6.626692153,6.08695666,5.999988958,0.820512821,4.551817203,7.025469628,-14.87265186,6.342685256,9.143286859,9.043004607,4.784976963,5,6.852789873,8.48,2.28,6.24,18.8,5.7888,10.528,6.836266667,4.287389015,0,2.143694508,5.563909774,3.363314281,0,1.106256413,1.489856898,4.008431962,0,5.571,10,5.190333333,5.566666667,3.783949637,5.545816433,6,7.755176154,1,4.941934815,3.74800323,1.555555556,9.243069793,3.598525621,8.797559902,7.029528486,5.662040431,5.264769527
AGO,2015,Angola,5.4,148,4,6.311764706,18.54,8.010977896,7.799711122,0,60.89,10,17,9,25,9.5,5.95568565,1.843129164,1.974565724,2.512364187,3.333333333,4.166666667,2.302200397,5.423011165,3.016103987,4.291196631,0.846153846,2.960263718,9.052059273,4.739703637,5.545665113,11.13583722,7.944134656,10.27932672,5,6.88546476,8.92,1.62,7.72,11.4,4.2544,14.364,6.9648,3.132738335,0,1.566369167,10,2.94691933,3.076923077,0.110625641,2.044822683,5.143997963,8,9.194715492,9,8.731571831,8.9,2.656197601,5.172987096,4,6.632764231,0,4.560324821,2.758427817,1.555555556,8.558532044,2.166511021,7.607170846,6.782923304,4.904853431,6.065583361
ARG,2015,Argentina,4.88,155,4,5.355882353,21.79,4.123313708,22.06743869,6,,7,35,1,58,4,4.869799015,3.030578338,2.894794941,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.280141751,4.152791353,0.769230769,3.81636162,5.179317925,24.10341038,5.918005001,10.2049875,4.724,26.38,10,6.455330731,4.153333333,8.77,7.28,13.6,6.0288,9.928,5.820711111,4.037772209,5.15562923,4.59670072,0,4.782937331,0.769230769,7.965046175,4.505738092,3.730787481,5,5.286,10,6.762,1.666666667,2.258974344,3.352490266,10,2.517253846,10,4.965897521,2.050997123,4.444444444,9.101895171,2.595698675,5.351838403,5.975851798,4.920120936,5.549339485
ARM,2015,Armenia,7.6,29,1,7.535294118,14.38,7.935638623,8.076206254,8,16.59,5,36,5,36,5,7.117733185,3.604283587,4.040783122,5.482346623,5.833333333,5,5.196692523,9.80196309,5.675675869,7.365155344,1,5.777803721,9.53589504,2.320524799,9.134324075,2.164189811,9.254682794,3.726586028,10,9.481225478,9.113333333,1.33,8.78,6.1,8.3896,4.026,8.760977778,6.14148033,8.466278563,7.303879447,10,5.332246787,5.384615385,10,6.905620724,8.242619487,10,6.987,10,8.995666667,5.566666667,6.014432176,7.36822549,10,8.992707249,0,6.32367193,4.573262229,5.777777778,9.862479853,4.399461601,9.5480102,6.491480816,6.775412079,7.364916892
AUS,2015,Australia,8,9,1,4.708823529,23.99,6.661437261,12.75252525,10,12.27,5,47,5,49,5,6.592565198,8.729690834,5.94367355,8.090725441,10,9.166666667,6.163151928,8.205654997,8.764045238,6.889687178,1,7.994810648,8.823098382,5.884508092,8.919129002,2.702177494,9.698326656,1.508366722,10,9.36013851,9.073333333,1.39,9.5,2.5,8.5,3.75,9.024444444,6.501839071,8.422491892,7.462165481,10,7.023069242,4.615384615,0.110625641,3.916359833,7.60074244,10,8.751,10,9.583666667,8.9,3.555915207,5.559640658,10,7.927854911,10,7.657235129,3.978294973,10,9.912605544,6.965338381,9.091938285,8.823020721,8.128532984,8.45647826
AUT,2015,Austria,7.65,26,1,3.694117647,27.44,3.154969916,25.62126041,10,12.97937406,4,50,3,54,3.5,5.087271891,7.290996561,6.187249637,8.194186049,10,10,6.220992578,8.10049394,8.634920915,7.511032535,1,8.015541357,8.759314604,6.203426979,9.886400243,0.283999393,9.820686767,0.896566164,10,9.616600404,9.100559738,1.349160394,8.98,5.1,7.0012,7.497,8.360586579,6.399057585,9.963313765,8.181185675,10,7.017330342,3.076923077,7.743794892,5.946016104,8.12194709,8,9.38,10,9.126666667,8.9,3.333333333,2.079198618,6,10,3,5.552088659,4.452577677,8.888888889,9.282536712,6.460748537,7.295935388,8.531578233,7.485377573,7.388044299
AZE,2015,Azerbaijan,6.38,114,3,6.379411765,18.31,7.881207817,8.27596731,0,77.11,9,25,4,41,6.5,5.190154896,4.435002936,5.021871156,5.404651509,5,5.833333333,7.252962408,9.773614234,5.454725663,7.579224851,0.717948718,5.321383003,9.700889863,1.495550687,5.364751543,11.58812114,9.165606855,4.171965726,5,7.307812065,8.893333333,1.66,8.18,9.1,6.6148,8.463,7.896044444,5.590111997,7.636696029,6.613404013,10,5.655329757,4.615384615,1.438133337,3.902949237,7.103099424,5,8.718,9,7.572666667,8.333333333,5.839999994,7.451658514,8,7.755176154,1,6.396694666,5.516917441,6.444444444,9.890294599,4.504738413,7.600112646,7.814181339,6.96178148,6.977047604
BHS,2015,Bahamas,7.3,55,2,5.991176471,19.63,8.899995763,4.537015549,7,,10,0,10,9,10,7.972793058,,6.6,,10,7.5,4.699256582,6.149350211,,,0.945945946,6.80080997,8.685871083,6.570644586,9.094163791,2.264590523,9.596,2.02,0,6.844008718,4.64,8.04,3.22,33.9,2.2708,19.323,3.376933333,,8.105924622,8.105924622,10,,0.769230769,10,5.384615385,6.716868335,10,5.868199597,10,8.622733199,8.9,,,8,6.546424852,10,8.361606213,,5.555555556,9.166682937,,7.981672077,7.388226933,7.523034376,8.169124596
BHR,2015,Bahrain,7.37,49,2,3.487887387,28.14118288,9.581704339,2.035145076,4,,10,0,10,17,10,6.767397932,6.822563237,6.23140069,7.435712795,5,7.5,4.785814418,8.855314534,7.764705817,7.287250156,0.536585366,5.265601604,9.961595769,-0.192021155,7.133846848,7.16538288,9.632801261,1.835993697,10,9.182060969,9.48,0.78,9.06,4.7,7.2928,6.768,8.610933333,6.712476024,5.878712993,6.295594508,10,7.456231854,6.153846154,0.774379489,4.794819166,7.425336752,10,5.275,10,8.425,8.333333333,5.687466921,7.695705635,8,9.585570982,10,8.217012812,6.084863738,7.777777778,9.672090694,6.596744698,8.534180978,9.697348185,8.060501012,8.234171275
BGD,2015,Bangladesh,6.32,118,3,9.723529412,6.94,9.581689664,2.035198932,7,23.61,9,25,9,25,9,8.826304769,3.175273527,3.043030783,4.73456947,4.166666667,3.333333333,0.941148344,3.087607391,3.477366368,4.298547449,0.794871795,3.01713395,9.826859697,0.865701513,9.529689589,1.175776028,8.761143954,6.19428023,0,7.02942331,6.526666667,5.21,7.22,13.9,6.1636,9.591,6.636755556,5.908625956,0.162721893,3.035673925,10,5.23988962,0,7.633169251,4.291019623,5.990862276,5,8.632,10,7.877333333,10,5.481346126,6.723143772,10,1.36606213,10,7.261758671,3.600968067,3.777777778,9.230716001,2.01905558,6.526637241,5.123942987,5.046516275,6.728536093
BRD,2015,Barbados,6.48,108,3,7.25,15.35,5.968941943,15.29398307,6,29,6,38,6,38,6,6.304735486,6.43016363,4.110034171,6.498498057,9.8,,3.803003329,6.174797134,7.495681957,4.895975012,0.871794872,5.756723061,7.851123006,10.74438497,9.251455354,1.871361614,9.787756706,-1.061216469,0,6.722583767,8.353333333,2.47,7.86,10.7,5.6344,10.914,7.282577778,6.036763717,5.286997017,5.661880367,10,6.842255023,0,9.403179512,5.415144845,7.089900747,8,0.859,10,6.286333333,8.9,3.902928673,6.350840487,8,5.683031065,10,7.139466704,4.17781926,6.666666667,9.438867635,4.353261423,4.999638041,7.343389627,6.163273776,6.529691271
BEL,2015,Belgium,7.44,45,2,2.405882353,31.82,2.312475571,28.71321466,10,10.2102675,2,50-55,0,67-70,1,3.929589481,7.88354695,5.901105294,7.886131474,10,8.333333333,5.565037753,4.767009987,8.133333524,6.821897258,1,7.254599508,8.997155302,5.014223492,9.755244839,0.611887902,9.887881204,0.56059398,10,9.660070336,9.100559738,1.349160394,8.98,5.1,7.0012,7.497,8.360586579,6.616761495,9.963313765,8.29003763,10,7.579257915,3.846153846,7.743794892,6.389735551,8.26008994,10,8.815,10,9.605,8.9,3.741834142,4.792579769,6,10,10,7.239068985,3.727821033,8.666666667,9.763677072,6.888927796,7.459619696,8.195298439,7.450335117,8.098134701
BLZ,2015,Belize,6.51,105,3,6.570588235,17.66,8.431259972,6.257275902,4,37.43,9,25,,,9,7.000462052,3.42768,4.3,4.732721667,6.4,,3.329065561,7.288231811,3.329,4.767009987,0.837837838,4.31589901,8.223353188,8.883234061,9.808329507,0.479176233,9.82294369,-0.885281552,0,6.963656596,7.34,3.99,7.82,10.9,5.0732,12.317,6.7444,3.89624,5.82368947,4.859964735,10,5.1620925,0,6.305661555,3.822584685,6.356737355,10,9.84382553,10,9.947941843,7.766666667,6.029968333,,8,6.546424852,10,7.66861197,3.163708333,4.888888889,8.259506764,2.836102857,9.138166003,8.352229009,6.106433643,7.907662485
BEN,2015,Benin,5.78,134,4,5.917647059,19.88,9.771474636,1.338688086,4,31.77,4,45,3,46,3.5,5.797280424,3.934192598,3.905482113,4.738601724,6.3,,1.068746974,3.951912272,5.126262506,5.51865677,0.658536585,3.580765453,8.960045627,5.199771866,8.843996413,2.890008968,9.935920256,0.320398718,0,6.934990574,5.84,6.24,7.56,12.2,7.0232,7.442,6.807733333,3.665541093,5.155640889,4.410590991,10,4.904829741,0.769230769,1.770010261,2.481356924,5.924920312,10,5.275,10,8.425,6.1,4.344017088,7.38246274,8,7.5681075,1,5.732431221,3.905361454,2.222222222,9.670763841,2.980773346,9.478953083,6.973481854,5.871925967,6.676452396
BTN,2015,Bhutan,7.11,70,2,4.611764706,24.32,9.899419951,0.86912878,8,16.93,9,25,8,26,8.5,7.752796164,6.362658389,5.66813362,6.230340745,9.2,,7.365354835,6.901202527,7.581121127,7.763226348,0.923076923,6.859619903,9.909581959,-0.452090204,9.109634236,2.225914411,9.095658291,4.521708543,0,7.028718621,9.813333333,0.28,5.54,22.3,4.202,14.495,6.518444444,4.991342785,9.501185608,7.246264197,10,3.580414651,0,0.330991919,1.30380219,6.267127708,5,8.911,9,7.637,10,5.0742637,7.061729512,10,10,10,8.689332202,4.470668703,2.444444444,9.479835052,5.494815851,8.454420089,9.04720725,6.565231898,7.630521367
BOL,2015,Bolivia,6.05,126,4,5.838235294,20.15,8.836512262,4.77,0,63.24,10,13,10,13,10,6.168686889,0.956256059,1.703646022,3.41251835,5,4.166666667,3.993334023,6.75412581,2.460317612,5.990888701,0.871794872,3.581133884,8.502350799,7.488246007,7.218714069,6.953214827,9.187807255,4.060963726,10,8.727218031,9.237933285,1.143100072,7.68,11.6,6.3808,9.048,7.766244428,4.917059725,1.893491124,3.405275424,10,4.038498776,4.615384615,10,6.21796113,6.847370246,8,4.892,10,7.630666667,1.1,2.013098623,5.629298853,8,,3,3.948479495,2.542555873,1.333333333,7.990964469,2.10330488,5.665245615,0,3.272567362,4.950571175
